PWSID,Name,County,FedBgnDt,FedEndDt,VioType,VioName,Analyte,AnalyteCode,count
MO5172883   ,NEW COVENANT CHURCH,JASPER,01-Jul-15,31-Jul-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5172883   ,NEW COVENANT CHURCH,JASPER,01-May-15,31-May-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5182571   ,MID AMERICA HARDWOODS,JASPER,01-Dec-13,31-Dec-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5182571   ,MID AMERICA HARDWOODS,JASPER,01-Nov-13,30-Nov-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5182750   ,OZARK STAVE PRODUCTS,NEWTON,01-Jul-14,31-Jul-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5182750   ,OZARK STAVE PRODUCTS,NEWTON,01-Jun-14,30-Jun-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5188304   ,JOHN TWITTY ENERGY CENTER,GREENE,01-Apr-15,30-Apr-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5188304   ,JOHN TWITTY ENERGY CENTER,GREENE,01-Oct-14,31-Oct-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5190983   ,BRIDGEPORT RESORT,STONE,01-Sep-15,30-Sep-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5190983   ,BRIDGEPORT RESORT,STONE,01-Aug-15,31-Aug-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5190988   ,SWEET T LLC,STONE,01-Aug-13,31-Aug-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5190988   ,SWEET T LLC,STONE,01-Aug-13,31-Aug-13,21,"MCL (TCR), ACUTE",COLIFORM (TCR)                          ,3100,2
MO5191022   ,COOPER CREEK RESORT,TANEY,01-Nov-14,30-Nov-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5191022   ,COOPER CREEK RESORT,TANEY,01-Aug-15,31-Aug-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5191312   ,CALM WATERS RESORT,STONE,01-Aug-15,31-Aug-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5191312   ,CALM WATERS RESORT,STONE,01-Sep-15,30-Sep-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5191453   ,VILLAGE AT INDIAN POINT,STONE,01-Dec-13,31-Dec-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5191453   ,VILLAGE AT INDIAN POINT,STONE,01-Jun-13,30-Jun-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5192286   ,TURKEY CREEK RANCH,OZARK,01-Sep-13,30-Sep-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5192286   ,TURKEY CREEK RANCH,OZARK,01-Aug-13,31-Aug-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5192693   ,AQUA VITAE ESTATES,MORGAN,01-Aug-13,31-Aug-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5192693   ,AQUA VITAE ESTATES,MORGAN,01-Jul-15,31-Jul-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5193115   ,RED CEDAR MOTEL AND RV PARK,POLK,01-Jun-14,30-Jun-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5193115   ,RED CEDAR MOTEL AND RV PARK,POLK,01-Jun-15,30-Jun-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5203145   ,FOX FITNESS 24,BARRY,01-Feb-16,29-Feb-16,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5203145   ,FOX FITNESS 24,BARRY,01-Jan-16,31-Jan-16,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5208114   ,WILD ANIMAL SAFARI INC,WEBSTER,01-Feb-16,29-Feb-16,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5208114   ,WILD ANIMAL SAFARI INC,WEBSTER,01-Jan-16,31-Jan-16,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5210631   ,ROADHOUSE GRILL & PUB,BARRY,01-Oct-14,31-Oct-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5210631   ,ROADHOUSE GRILL & PUB,BARRY,01-Dec-14,31-Dec-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5210920   ,HICKORY RIDGE HWY 83 MARINA & RESORT,HICKORY,01-Apr-13,30-Apr-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5210920   ,HICKORY RIDGE HWY 83 MARINA & RESORT,HICKORY,01-May-13,31-May-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5211348   ,DONS CROSSROADS,LAWRENCE,18-Nov-16,08-Dec-16,2A,"LEVEL 1 ASSESS, TC POS RT NO RPT (RTCR)",REVISED TOTAL COLIFORM RULE (RTCR),8000,2
MO5211348   ,DONS CROSSROADS,LAWRENCE,01-Nov-15,30-Nov-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5211485   ,TIMBEROC VILLAGE SHOPPING CENTER,BARRY,01-Nov-13,30-Nov-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5211485   ,TIMBEROC VILLAGE SHOPPING CENTER,BARRY,01-Aug-14,31-Aug-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5212501   ,THE ROCKS LAKESIDE GRILL AND LOUNGE,STONE,01-Jun-13,30-Jun-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5212501   ,THE ROCKS LAKESIDE GRILL AND LOUNGE,STONE,01-May-13,31-May-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5212785   ,MUDBUGS BAR AND GRILL,CAMDEN,01-Aug-14,31-Aug-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5212785   ,MUDBUGS BAR AND GRILL,CAMDEN,01-Oct-15,31-Oct-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5212841   ,FRATERNAL ORDER OF EAGLE 4155,BARRY,01-Mar-16,31-Mar-16,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5212841   ,FRATERNAL ORDER OF EAGLE 4155,BARRY,01-Sep-15,30-Sep-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5213119   ,LEONAS DELI,STONE,01-Oct-15,31-Oct-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5213119   ,LEONAS DELI,STONE,01-Jun-15,30-Jun-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5233074   ,KINGS RIVER MARINA,BARRY,01-Aug-14,31-Aug-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5233074   ,KINGS RIVER MARINA,BARRY,01-Sep-14,30-Sep-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5238065   ,KREBS MOBILE HOME LIVING,ST CLAIR,01-Aug-14,31-Aug-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5238065   ,KREBS MOBILE HOME LIVING,ST CLAIR,01-Sep-14,30-Sep-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5241141   ,TWIN BRIDGES CANOE AND CAMPGROUND,DOUGLAS,01-Sep-15,30-Sep-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5241141   ,TWIN BRIDGES CANOE AND CAMPGROUND,DOUGLAS,01-Jul-15,31-Jul-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5242466   ,TRI LAKES MOOSE LODGE,TANEY,18-May-16,07-Jun-16,2A,"LEVEL 1 ASSESS, MULTIPLE TC POS (RTCR)",REVISED TOTAL COLIFORM RULE (RTCR),8000,2
MO5242466   ,TRI LAKES MOOSE LODGE,TANEY,01-Mar-16,31-Mar-16,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5242740   ,SUNBURST RANCH,OZARK,01-Jun-13,30-Jun-13,21,"MCL (TCR), ACUTE",COLIFORM (TCR)                          ,3100,2
MO5242740   ,SUNBURST RANCH,OZARK,01-Jun-13,30-Jun-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5242916   ,BIG RED BARN RV PARK,JASPER,01-Dec-15,31-Dec-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5242916   ,BIG RED BARN RV PARK,JASPER,01-Dec-15,31-Dec-15,21,"MCL (TCR), ACUTE",COLIFORM (TCR)                          ,3100,2
MO5243147   ,BEACHWOODS CAMPGROUND,MORGAN,22-Oct-16,19-Jan-17,2A,"LEVEL 1 ASSESS, MULTIPLE TC POS (RTCR)",REVISED TOTAL COLIFORM RULE (RTCR),8000,2
MO5243147   ,BEACHWOODS CAMPGROUND,MORGAN,01-Jun-15,30-Jun-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5248066   ,CAMP WAKAHNI,POLK,01-Aug-14,31-Aug-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5248066   ,CAMP WAKAHNI,POLK,01-Sep-14,30-Sep-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5252337   ,MAYO BEACH SUBD,BARRY,01-Dec-14,31-Dec-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5252337   ,MAYO BEACH SUBD,BARRY,01-Feb-15,28-Feb-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
